                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                0.87034,                 2.7139,                 1.5352,                 1.2059,                0.69738,                0.77083,                0.86047,                0.61814,                   0.51,                0.71563,                0.60131,                0.17756,                0.81296,                      0,                 3.1199,                0.76393,               0.001208,               0.001208,               0.001208
                     42,                0.87924,                 2.7632,                 1.5323,                 1.2166,                0.73945,                0.72917,                0.83143,                0.58871,                0.52707,                0.37158,                0.34889,                0.08539,                0.79997,                      0,                 2.9269,                0.80074,              0.0011882,              0.0011882,              0.0011882
                     43,                0.93432,                  3.131,                 1.5635,                 1.2347,                0.57842,                    0.5,                0.51343,                 0.1847,                0.13027,                0.10417,                0.03031,                 0.0075,                 1.8876,                      0,                 3.9459,                 1.3914,              0.0011684,              0.0011684,              0.0011684
                     44,                0.91775,                 4.6198,                 1.5493,                 1.2452,                0.82261,                0.89583,                0.92678,                0.54176,                0.72234,                0.79167,                 0.7837,                0.26568,                0.87741,                      0,                 3.0157,                0.83199,              0.0011486,              0.0011486,              0.0011486
                     45,                0.90511,                 3.4463,                 1.5513,                 1.2353,                0.86679,                0.94899,                0.94307,                0.70818,                0.51192,                 0.5625,                0.39175,                0.13094,                0.69159,                      0,                 2.8217,                0.68221,              0.0011288,              0.0011288,              0.0011288
                     46,                0.86744,                 3.1951,                 1.5452,                  1.223,                0.76777,                0.89583,                0.89146,                0.45452,                0.15969,                 0.1875,                0.09837,                0.02038,                 1.0563,                      0,                 3.2776,                0.95194,               0.001109,               0.001109,               0.001109
                     47,                0.82319,                 2.4889,                  1.448,                 1.1782,                0.92917,                0.97917,                0.95578,                0.74668,                0.83403,                  0.875,                 0.8273,                0.31077,                0.59357,                      0,                 2.5327,                0.68223,              0.0010892,              0.0010892,              0.0010892
                     48,                0.88846,                 2.4895,                  1.539,                   1.23,                0.94607,                0.97917,                0.98143,                0.63662,                0.86294,                0.89583,                0.84536,                0.32259,                0.73633,                      0,                  2.997,                0.74589,              0.0010694,              0.0010694,              0.0010694
                     49,                0.98836,                 2.8029,                 1.6454,                 1.2873,                0.36194,                0.44916,                0.31435,                0.12151,                0.07808,                  0.125,                 0.0354,                0.00669,                 1.5907,                      0,                 4.3969,                 1.3084,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2494,                 4.9429,                 1.9254,                 1.4558,                0.25936,                0.70766,                0.28259,                0.16085,                0.25346,                0.33333,                0.15855,                 0.0399,                 1.0548,                      0,                 3.5884,                0.94658,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2126,                 4.1692,                 1.8491,                 1.4659,                 0.2827,                0.60417,                0.42988,                0.22091,                0.15612,                0.35417,                0.10511,                0.01688,                 1.1847,                      0,                 3.8797,                  1.067,                0.00101,                0.00101,                0.00101
