                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6903,                 5.4831,                 2.4692,                 1.9325,                0.25095,                0.41026,                0.25092,                0.05011,                      0,                      0,                      0,                      0,                 2.3965,                      0,                 7.0879,                 1.7951,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.8837,                 5.8873,                 2.6055,                 2.1108,                0.13416,                0.92308,                0.24944,                0.08579,                0.07626,                0.92308,                0.22725,                0.06261,                 2.2472,                      0,                 9.5349,                 2.3783,               0.001307,               0.001307,               0.001307
                     37,                 2.2016,                 7.4434,                 2.8977,                 2.4468,                0.01382,                0.79487,                0.01458,                0.00442,                0.00869,                0.53846,                0.00864,                0.00237,                 2.6922,                      0,                 97.923,                 7.3135,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.1733,                 10.084,                 2.8541,                 2.3944,                0.00291,                0.87179,                  0.003,                0.00093,                0.00248,                0.74359,                0.00224,                0.00058,                 2.2809,                      0,                 118.55,                 2.1724,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.0623,                 7.0316,                 2.8143,                 2.2814,                0.00576,                0.97436,                0.05829,                0.01442,                      0,                      0,                      0,                      0,                 2.2739,                      0,                 5.9638,                 1.7712,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.2968,                 8.4626,                 2.9825,                 2.4756,                0.00459,                      1,                 0.0397,                0.01313,                0.00235,                0.51282,                0.00833,                0.00145,                 2.2615,                      0,                  5.675,                 1.9348,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.1655,                 10.664,                 2.8488,                 2.3642,                0.00617,                      1,                0.48405,                0.14201,                 0.0057,                0.92308,                0.07634,                0.01376,                 2.0394,                      0,                 5.0306,                 1.7347,               0.001208,               0.001208,               0.001208
                     42,                 2.0032,                 11.256,                 2.7615,                 2.2394,                0.00452,                      1,                0.16296,                0.05541,                0.00452,                      1,                 0.1526,                0.03939,                 1.7707,                      0,                 5.0569,                 1.5522,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.9308,                 7.5146,                 2.6931,                  2.183,                0.02342,                      1,                0.62856,                0.32779,                0.02342,                      1,                0.60091,                0.13789,                 1.6809,                      0,                 4.8932,                 1.5514,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.8754,                 6.3008,                 2.5833,                 2.1393,                0.10796,                0.97436,                 0.2348,                0.08854,                0.04916,                      1,                0.13037,                0.02855,                 1.7488,                      0,                 5.2256,                 1.7463,              0.0011486,              0.0011486,              0.0011486
                     45,                  1.833,                 6.2281,                 2.5429,                 2.0737,                0.06008,                0.97436,                 0.7094,                0.15598,                0.05682,                0.97436,                 0.2348,                 0.0451,                 2.4156,                      0,                 5.4212,                 2.0231,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.8108,                 6.1443,                 2.5595,                 2.0483,                0.07712,                      1,                0.70738,                0.27503,                0.07514,                0.97436,                 0.5406,                0.07414,                 1.7656,                      0,                 4.8643,                 1.7273,               0.001109,               0.001109,               0.001109
                     47,                 1.7496,                 6.8572,                 2.5349,                  2.019,                0.04466,                      1,                 0.3745,                0.10723,                0.01947,                 0.4359,                0.11661,                0.02502,                  1.708,                      0,                 4.9414,                 1.5979,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.6847,                 6.2978,                  2.476,                 1.9677,                0.05942,                      1,                0.60751,                0.28654,                0.05942,                      1,                0.59461,                0.13728,                 1.5675,                      0,                 4.5367,                 1.5288,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.6579,                 5.0163,                 2.4149,                 1.9148,                0.06665,                0.97436,                0.72412,                0.23775,                0.04736,                0.69231,                0.36158,                0.04241,                 1.8869,                      0,                  4.716,                 1.7072,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.6634,                 5.0065,                 2.4664,                 1.9212,                0.05014,                      1,                0.15215,                0.06247,                0.02278,                      1,                0.05147,                0.01303,                 1.5048,                      0,                 5.0838,                 1.4191,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.5976,                 5.5798,                 2.4309,                 1.8677,                0.04477,                      1,                0.22539,                0.07963,                0.04076,                      1,                0.21624,                0.06291,                 1.8337,                      0,                 4.9553,                 1.7361,                0.00101,                0.00101,                0.00101
                     52,                 1.6088,                 5.0821,                 2.4051,                 1.8626,                0.03291,                      1,                0.27692,                0.12221,                0.02997,                      1,                0.13739,                0.02472,                 1.2457,                      0,                 4.5419,                  1.281,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.5337,                  5.258,                 2.3906,                 1.8214,                0.01972,                      1,                0.24977,                0.10989,                0.01511,                0.92308,                0.17158,                0.03347,                 1.2546,                      0,                 4.5271,                 1.2772,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.5048,                 4.5494,                  2.317,                 1.7661,                0.03654,                      1,                0.72213,                0.35518,                0.02792,                0.84615,                0.39185,                0.05601,                 1.1799,                      0,                   4.41,                  1.176,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.4957,                 4.9842,                 2.3165,                 1.7467,                0.05886,                      1,                0.37769,                0.16641,                0.05735,                0.97436,                0.31857,                0.08121,                  1.026,                      0,                  4.431,                 1.0812,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.4842,                 4.5768,                 2.2796,                 1.7272,                0.03469,                      1,                0.11987,                0.07193,                0.03469,                      1,                0.11334,                0.03255,                 1.1605,                      0,                 4.4205,                 1.1151,               0.000911,               0.000911,               0.000911
                     57,                 1.4472,                 4.5394,                 2.2567,                 1.7003,                0.03699,                      1,                0.26898,                0.13554,                0.03604,                0.97436,                0.19613,                  0.038,                 1.0267,                      0,                  4.365,                 1.0564,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.5017,                  5.255,                 2.2905,                 1.7517,                0.11823,                      1,                0.86099,                0.40458,                0.11217,                0.94872,                0.64529,                0.11558,                 1.1148,                      0,                 4.2702,                 1.1005,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.5257,                 5.8345,                 2.3263,                 1.7688,                0.04572,                      1,                0.78634,                0.31773,                0.04455,                0.97436,                0.50648,                0.09863,                 1.2175,                      0,                 4.3565,                 1.1567,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.4174,                 4.6108,                  2.257,                 1.6842,                0.03563,                      1,                0.71323,                0.27789,                 0.0338,                0.94872,                0.45534,                0.10202,                 1.1537,                      0,                 4.5042,                 1.1235,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.4192,                 4.4245,                 2.2735,                 1.6859,                0.07756,                      1,                0.58147,                0.27506,                0.07557,                0.97436,                0.59127,                0.15227,                 1.1826,                      0,                 4.3006,                 1.1411,               0.000812,               0.000812,               0.000812
                     62,                 1.4118,                 4.8424,                 2.2405,                 1.6697,                0.21466,                      1,                0.70152,                0.32962,                0.20365,                0.94872,                0.62115,                0.15759,                 1.0823,                      0,                 4.3601,                 1.0888,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.3869,                 5.1161,                 2.1937,                 1.6466,                0.35136,                      1,                0.90956,                0.43462,                0.24454,                0.76923,                0.61593,                0.09902,                0.98352,                      0,                 4.1759,                 1.0285,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.4007,                 4.6524,                 2.2264,                 1.6675,                0.33436,                      1,                0.81608,                0.35573,                0.31721,                0.94872,                 0.8069,                0.26548,                 1.0679,                      0,                 4.2765,                 1.0418,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4561,                 4.1834,                 2.2559,                 1.7292,                 0.0416,                      1,                0.36061,                0.13263,                 0.0384,                0.92308,                 0.2475,                0.04882,                 1.3107,                      0,                 4.4831,                 1.2686,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.5181,                 5.2226,                 2.2992,                 1.7823,                0.06003,                      1,                0.27043,                0.10818,                0.03062,                0.64103,                0.03939,                0.00723,                 1.3403,                      0,                 4.4898,                 1.3023,               0.000713,               0.000713,               0.000713
                     67,                 1.5353,                 6.7737,                  2.307,                 1.7831,                0.18152,                      1,                0.27576,                0.11223,                0.11636,                0.64103,                0.12738,                0.02555,                 1.2581,                      0,                 4.5025,                 1.2364,              0.0006932,              0.0006932,              0.0006932
